id,id_bangunan,url,created_at,updated_at
00002,B0071,GedungA.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00003,B0072,GedungB.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00004,B0074,GedungC.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00005,B0075,GedungD.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00006,B0076,GedungE.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00007,B0077,GedungF.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00008,B0079,GedungG.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00009,B0080,GedungH.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00010,B0081,GedungI.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00011,B0082,GedungJ.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00012,B0084,AsramaMenpera.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00013,B0086,AsramaRoesmaM.Sjaaf.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00014,B0087,AsramaRPX.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00015,B0088,AsramaRusunawa.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00016,B0001,Auditorium.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00017,B0004,ConventionHall.jpeg,2023-05-27 12:05:44,2023-05-27 12:05:44
00018,B0007,KlinikMedikaAndalas.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00019,B0094,LapanganBasketPKM.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00020,B0095,LapanganBolaUnand.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00021,B0097,LapanganFTI.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00022,B0093,LapanganTenisPKM.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00023,B0013,MasjidNurulIlmi.jpeg,2023-05-27 12:05:44,2023-05-27 12:05:44
00024,B0019,Perpustakaan.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00025,B0021,PKM.jpeg,2023-05-27 12:05:44,2023-05-27 12:05:44
00026,B0020,PusatBahasa.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00027,B0006,Rektorat1.jpeg,2023-05-27 12:05:44,2023-05-27 12:05:44
00028,B0006,Rektorat2.jpeg,2023-05-27 12:05:44,2023-05-27 12:05:44
00029,B0022,RumahSakitUnand.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00030,B0052,GedungEFakultasKedokteran.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00031,B0064,ProdiPsikologiFakultasKedokteran.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00032,B0039,FakultasÂ Kedokteran.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00033,B0042,FakultasKesehatanMasyarakat.png,2023-05-27 12:05:44,2023-05-27 12:05:44
00034,B0033,FakultasEkonomidanBisnis4.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00035,B0033,FakultasEkonomidanBisnis2.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00036,B0032,FakultasEkonomidanBisnis3.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00037,B0032,FakultasEkonomidanBisnis.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00038,B0061,PascasarjanaFakultasEkonomidanBisnis.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00039,B0035,FakultasFarmasi.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00040,B0036,FakultasHukum.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00041,B0053,GedungSerbaGunaFakultasHukum.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00042,B0067,PusatStudiKonstitusiFakultasHukum.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00043,B0037,FakultasIlmuBudaya.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00044,B0066,PusatStudiHumanioraFakultasIlmuBudaya.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00045,B0038,FakultasIlmuSosialdanIlmuPolitik.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00046,B0070,SekretariatHMAPFakultasIlmuSosialdanIlmuPolitik.png,2023-05-27 12:05:44,2023-05-27 12:05:44
00047,B0054,JAKPLaboratoriumAPFakultasIlmuSosialdanIlmuPolitik2.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00048,B0070,SekretariatHMAPFakultasIlmuSosialdanIlmuPolitik.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00049,B0054,JAKPLaboratoriumAPFakultaslImuSosialdanIlmuPolitik.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00050,B0055,LaboratoriumFakultasMatematikadanIlmuPengetahuanAlam2.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00051,B0065,LaboratoriumBiotaSumateraFakultasMatematikadanIlmuPengetahuanAlam.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00052,B0051,GedungBotaniFakultasMatematikadanIlmuPengetahuanAlam.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00053,B0025,DepartemenKimiaFakultasMatematikadanIlmuPengetahuanAlam2.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00054,B0043,FakultasMatematikadanIlmuPengetahuanAlam.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00055,B0025,DepartemenKimiaFakultasMatematikadanIlmuPengetahuanAlam.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00056,B0058,LaboratoriumStrukturPerkembanganTumbuhanFakultasMatematikadanIlmuPengetahuanAlam.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00057,B0057,LaboratoriumMikrobiologiFakultasMatematikadanIlmuPengetahuanAlam2.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00058,B0057,LaboratoriumMikrobiologiFakultasMatematikadanIlmuPengetahuanAlam.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00059,B0055,LaboratoriumFakultasMatematikadanIlmuPengetahuanAlam.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00060,B0056,LaboratoriumFakultasPertanian.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00061,B0068,S2IlmuHamadanPenyakitTumbuhanFakultasPertanian2.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00062,B0044,FakultasPertanian.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00063,B0056,LaboratoriumFakultasPertanian2.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00064,B0068,S2IlmuHamadanPenyakitTumbuhanFakultasPertanian.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00065,B0069,S3IlmuPertanianFakultasPertanian.png,2023-05-27 12:05:44,2023-05-27 12:05:44
00066,B0024,DepartemenIlmuTanahdanSumberdayaLahanFakultasPertanian.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00067,B0023,DepartemenBudidayaPertanianFakultasPertanian.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00068,B0023,DepartemenBudidayaPertanianFakultasPertanian2.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00069,B0069,S3IlmuPertanianFakultasPertanian.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00070,B0047,FakultasPeternakan5.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00071,B0063,PeternakanConventionalCenterFakultasTeknologiPertanian.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00072,B0046,FakultasPeternakan3.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00073,B0045,FakultasPeternakan4.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00074,B0045,FakultasPeternakan2.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00075,B0028,DepartemenTeknikIndustriFakultasTeknik2.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00076,B0028,DepartemenTeknikIndustriFakultasTeknik.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00077,B0032,DepartemenTeknikSipilFakultasTeknik.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00078,B0030,DepartemenTeknikMesinFakultasTeknik.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00079,B0048,FakultasTeknik2.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00080,B0027,DepartemenTeknikElektroFakultasTeknik.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00081,B0048,FakultasTeknik.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00082,B0030,DepartemenTeknikMesinFakultasTeknik2.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00083,B0029,DepartemenTeknikKomputerFakultasTeknologiInformasi.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00084,B0049,FakultasTeknologiInformasi.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00085,B0026,DepartemenSisteminformasiFakultasTeknologiInformasi.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00086,B0026,DepartemenSisteminformasiFakultasTeknologiInformasi2.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00087,B0059,LaboratoriumTeknologidanRekayasaProsesHasilPertanianFakultasTeknologiPertanian.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00088,B0031,DepartemenTeknikPertanianFakultasTeknologiPertanian.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00089,B0050,FakultasTeknologiPertanian.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00090,B0061,Pascasarjana.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44
00091,B0003,Atm.jpg,2023-05-27 12:05:44,2023-05-27 12:05:44